Current Time,Light Sensor Input,Sound Sensor Input,Start Time
2020-05-11 10:39:57.865122,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:39:58.008238,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:00.083726,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:02.455797,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:04.691545,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:07.053927,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:07.144658,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:09.276097,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:11.621457,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:11.702140,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:13.874412,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:16.222636,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:16.325250,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:18.458882,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:20.805617,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:20.888520,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:23.035549,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:23.142855,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:23.552371,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:40:23.601614,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:40:25.381679,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:25.472864,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:27.623121,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:29.969860,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:30.059545,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:32.210971,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:34.582968,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:36.794630,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:39.179500,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:41.406279,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:43.768936,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:43.889510,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:46.005166,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:48.373012,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:50.626281,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:52.973547,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:55.209333,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:57.571832,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:57.704193,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:40:59.805982,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:02.168473,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:02.291839,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:04.403964,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:06.767920,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:09.022253,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:09.107799,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:11.369180,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:11.460867,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:13.606108,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:15.969824,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:16.058851,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:18.187172,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:20.550292,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:20.653336,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:22.768344,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:23.321183,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:41:23.403060,FALSE,1,2020-05-11 10:31:23.070889
2020-05-11 10:41:25.114466,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:25.252277,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:27.350931,0,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:29.722209,1,0,2020-05-11 10:31:23.070889
2020-05-11 10:41:31.950253,0,0,2020-05-11 10:31:23.070889
